ESTIMATED SAT PRACTICE TEST SCORE CONVERSION — EXAM 4

This is a difficulty-adjusted practice-test estimate, not an official College Board
raw-score conversion. Exam 1's linear 200–800 conversion is used as the baseline.
A conservative form-difficulty adjustment is applied and tapered toward 0 at the
minimum and maximum raw scores, then the result is rounded to the nearest 10 points.

READING AND WRITING DIFFICULTY: Slightly harder than Exam 1
Calibration adjustment: +5 points at the center of the raw-score range

READING AND WRITING (54 QUESTIONS)
Correct | Missed | Estimated Section Score
--------+--------+------------------------
     54 |      0 |                     800
     53 |      1 |                     790
     52 |      2 |                     780
     51 |      3 |                     770
     50 |      4 |                     760
     49 |      5 |                     750
     48 |      6 |                     740
     47 |      7 |                     720
     46 |      8 |                     710
     45 |      9 |                     700
     44 |     10 |                     690
     43 |     11 |                     680
     42 |     12 |                     670
     41 |     13 |                     660
     40 |     14 |                     650
     39 |     15 |                     640
     38 |     16 |                     630
     37 |     17 |                     620
     36 |     18 |                     600
     35 |     19 |                     590
     34 |     20 |                     580
     33 |     21 |                     570
     32 |     22 |                     560
     31 |     23 |                     550
     30 |     24 |                     540
     29 |     25 |                     530
     28 |     26 |                     520
     27 |     27 |                     510
     26 |     28 |                     490
     25 |     29 |                     480
     24 |     30 |                     470
     23 |     31 |                     460
     22 |     32 |                     450
     21 |     33 |                     440
     20 |     34 |                     430
     19 |     35 |                     420
     18 |     36 |                     400
     17 |     37 |                     390
     16 |     38 |                     380
     15 |     39 |                     370
     14 |     40 |                     360
     13 |     41 |                     350
     12 |     42 |                     340
     11 |     43 |                     330
     10 |     44 |                     310
      9 |     45 |                     300
      8 |     46 |                     290
      7 |     47 |                     280
      6 |     48 |                     270
      5 |     49 |                     260
      4 |     50 |                     250
      3 |     51 |                     230
      2 |     52 |                     220
      1 |     53 |                     210
      0 |     54 |                     200

MATH DIFFICULTY: Slightly harder than Exam 1
Calibration adjustment: +5 points at the center of the raw-score range

MATH (44 QUESTIONS)
Correct | Missed | Estimated Section Score
--------+--------+------------------------
     44 |      0 |                     800
     43 |      1 |                     790
     42 |      2 |                     770
     41 |      3 |                     760
     40 |      4 |                     750
     39 |      5 |                     730
     38 |      6 |                     720
     37 |      7 |                     710
     36 |      8 |                     690
     35 |      9 |                     680
     34 |     10 |                     670
     33 |     11 |                     650
     32 |     12 |                     640
     31 |     13 |                     630
     30 |     14 |                     610
     29 |     15 |                     600
     28 |     16 |                     590
     27 |     17 |                     570
     26 |     18 |                     560
     25 |     19 |                     550
     24 |     20 |                     530
     23 |     21 |                     520
     22 |     22 |                     510
     21 |     23 |                     490
     20 |     24 |                     480
     19 |     25 |                     460
     18 |     26 |                     450
     17 |     27 |                     440
     16 |     28 |                     420
     15 |     29 |                     410
     14 |     30 |                     400
     13 |     31 |                     380
     12 |     32 |                     370
     11 |     33 |                     350
     10 |     34 |                     340
      9 |     35 |                     330
      8 |     36 |                     310
      7 |     37 |                     300
      6 |     38 |                     280
      5 |     39 |                     270
      4 |     40 |                     260
      3 |     41 |                     240
      2 |     42 |                     230
      1 |     43 |                     210
      0 |     44 |                     200
